workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
10,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3IO1LGZLKA0YUNEZFMJ1HTOQRU786F""",10,"""Submitted""","""Thu May 10 22:29:06 PDT 2018""","""Thu May 10 05:47:23 PDT 2018""","""Thu May 10 05:49:06 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""1.5"""
11,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3OB0CAO74IST6IPYO98ZDX1ITNQHY3""",11,"""Submitted""","""Thu May 10 22:29:09 PDT 2018""","""Thu May 10 05:47:33 PDT 2018""","""Thu May 10 05:49:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.5129166666666667"""
12,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3AUQQEL7U6W1ROOXLQEU06Y7PPLV05""",12,"""Submitted""","""Thu May 10 22:29:16 PDT 2018""","""Thu May 10 05:46:27 PDT 2018""","""Thu May 10 05:49:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""2.1121333333333334"""
13,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""36PW28KO40ZGQQ0TI2MDP8MYYGVAE6""",13,"""Submitted""","""Thu May 10 22:29:20 PDT 2018""","""Thu May 10 05:47:04 PDT 2018""","""Thu May 10 05:49:20 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""1.8947833333333333"""
14,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3FFJ6VRIL2RW5I4XMJFBLH8DHNQI0W""",14,"""Submitted""","""Thu May 10 22:29:22 PDT 2018""","""Thu May 10 05:47:49 PDT 2018""","""Thu May 10 05:49:22 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.3933666666666666"""
15,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3YZ8UPK3VUPL81UDSGX9ZLYPK7ACUR""",15,"""Submitted""","""Thu May 10 22:29:26 PDT 2018""","""Thu May 10 05:47:42 PDT 2018""","""Thu May 10 05:49:26 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.4369833333333333"""
16,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3LPW2N6LKU509GLYD6A1LFSFSQO5UC""",16,"""Submitted""","""Thu May 10 22:29:27 PDT 2018""","""Thu May 10 05:47:37 PDT 2018""","""Thu May 10 05:49:27 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.79225"""
17,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""384PI804XT4LZW7TRV9PPJE0QLRS0X""",17,"""Submitted""","""Thu May 10 22:29:30 PDT 2018""","""Thu May 10 05:46:18 PDT 2018""","""Thu May 10 05:49:30 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""0.6749166666666667"""
18,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3WEV0KO0ONVFYG8N37XK4QYJKA0SDQ""",18,"""Submitted""","""Thu May 10 22:29:43 PDT 2018""","""Thu May 10 05:48:04 PDT 2018""","""Thu May 10 05:49:43 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""1.2573666666666667"""
19,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3VD82FOHKRRQVWAGWUL00F602LMCOE""",19,"""Submitted""","""Thu May 10 22:30:11 PDT 2018""","""Thu May 10 05:47:19 PDT 2018""","""Thu May 10 05:50:11 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""2.598116666666667"""
