workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education
162,"""englisg""","""2""","""Female""","""45""","""no""","""it was all good""","""Yes""","""30""","""1"""
163,"""English""","""1""","""Male""","""42""","""No.""","""None.""",NA,""".30""","""3"""
164,"""English""","""2""","""Male""","""27""","""""","""""","""Yes""","""""","""4"""
165,"""english""","""2""","""Male""","""76""","""none""","""""",NA,"""yes""","""4"""
166,"""English""","""1""","""Female""","""69""","""none""","""Thank you for the opportunity to participate in your study and best of outcomes for you.""","""Yes""",""".30""","""3"""
167,"""english""","""2""","""Male""","""27""","""none""","""""",NA,""".30""","""2"""
168,"""English""","""1""","""Female""","""31""","""nope""","""""","""Yes""",""".30""","""2"""
169,"""English""","""1""","""Male""","""39""","""no""","""""","""Yes""",""".27""","""3"""
170,"""English""","""1""","""Male""","""27""","""""","""""","""Yes""","""""","""3"""
171,"""English""","""2""","""Female""","""36""","""It sounded like the ending of the recording was stuck""","""This was great! It would be fun to do more!""","""Yes""","""0.27""","""1"""
172,"""English""","""2""","""Female""","""30""","""""","""""","""Yes""",""".05""","""2"""
173,"""english""","""2""","""Female""","""38""","""no""","""no""","""Yes""","""27""","""2"""
174,"""English""","""1""","""Female""","""41""","""none""","""none""","""Yes""",""".25""","""4"""
175,"""English""","""2""","""Male""","""53""","""no""","""""","""Yes""","""I don&quotechart know""","""2"""
176,"""English""","""2""","""Male""","""64""","""no problems""","""thank you very much""","""No""","""0.27""","""2"""
177,"""English""","""2""","""Male""","""38""","""no""","""""","""Yes""","""yes""","""2"""
178,"""english""","""1""","""Male""","""35""","""no""","""""",NA,"""yes""","""3"""
179,"""English""","""2""","""Female""","""33""","""No.""","""""","""Yes""","""10 cents""","""3"""
180,"""English""","""1""","""Male""","""33""","""No problems""","""""","""Yes""","""Yes""","""3"""
181,"""English""","""1""","""Female""","""36""","""""","""""",NA,"""""","""3"""
182,"""english""","""2""","""Female""","""40""","""no""","""""","""Yes""","""0.30""","""3"""
183,"""English""","""1""","""Female""","""28""","""no""","""""","""Yes""",""".33""","""2"""
184,"""English""","""2""","""Female""","""31""","""No""","""""","""Yes""",""".27""","""3"""
185,"""English""","""2""","""""","""56""","""""","""It was quick and easy""",NA,"""""","""2"""
186,"""English""","""2""","""Male""","""33""","""none""","""""","""Yes""","""0.50""","""4"""
187,"""English""","""2""","""Male""","""30""","""no""","""none""","""Yes""","""$0.2""","""2"""
188,"""english""","""2""","""Male""","""37""","""No""","""""","""Yes""","""Yes""","""3"""
189,"""English""","""2""","""Male""","""69""","""no""","""I enjoyed extrapolating information about the speaker just from a small clip of their words. ""","""Yes""",""".50""","""3"""
190,"""English""","""2""","""Male""","""28""","""No""","""""","""Yes""","""0.30""","""3"""
191,"""English""","""2""","""Male""","""51""","""Not at all!""","""""","""Yes""",""".25""","""2"""
192,"""English""","""2""","""Male""","""30""","""""","""""","""Yes""","""0.50""","""3"""
193,"""english""","""2""","""Male""","""49""","""no problems""","""""","""Yes""",""".30""","""3"""
194,"""English""","""1""","""Male""","""31""","""No""","""None""",NA,""".20""","""4"""
195,"""English ""","""2""","""Male""","""38""","""No""","""This was fun but the pay could be a little better ""","""Yes""",""".50""","""3"""
196,"""English""","""2""","""Male""","""30""","""Nope""","""Nothing of note, interesting hit.""","""No""",""".25""","""3"""
197,"""english""","""2""","""Male""","""57""","""nope""","""""",NA,"""50 cengs""","""4"""
198,"""english""","""2""","""""","""28""","""""","""good""",NA,"""""","""4"""
199,"""English""","""1""","""Female""","""40""","""n/a""","""""",NA,"""25""","""2"""
200,"""English""","""2""","""Male""","""44""","""No""","""This was fun. I would do more of these. """,NA,""".25""","""4"""
201,"""English""","""2""","""Female""","""36""","""no""","""Interesting survey""",NA,"""0.27""","""3"""
202,"""Eng""","""2""","""Male""","""68""","""none""","""none""","""Yes""","""yes""","""4"""
203,"""english""","""2""","""Male""","""26""","""no""","""""","""Yes""",""".30""","""3"""
204,"""English""","""2""","""Male""","""22""","""""","""""","""Yes""",""".3""","""3"""
205,"""Bulgarian""","""2""","""Male""","""28""","""No.""","""It was interesting and fun to do.""","""Yes""","""0.27""","""3"""
206,"""English""","""1""","""Female""","""46""","""No.""","""None""","""Yes""",""".27""","""0"""
207,"""English""","""2""","""Male""","""29""","""No""","""""","""No""","""yes""","""3"""
208,"""english""","""-1""","""""","""""","""""","""""","""Yes""","""""","""-1"""
209,"""English""","""1""","""Male""","""21""","""No""","""""","""Yes""",""".20""","""2"""
210,"""English""","""1""","""Male""","""39""","""No""","""""",NA,"""Yes""","""2"""
211,"""English""","""2""","""Male""","""26""","""No""","""""","""Yes""",""".5""","""3"""
212,"""English""","""2""","""Male""","""36""","""No""","""""","""Yes""","""yeah, it is good""","""3"""
213,"""English""","""2""","""Female""","""49""","""No.""","""Thank you. ""","""Yes""",""".30""","""1"""
214,"""English""","""1""","""Female""","""18""","""""","""""","""Yes""",""".25""","""2"""
215,"""""","""-1""","""""","""""","""""","""""","""Yes""","""""","""-1"""
216,"""English""","""2""","""Male""","""30""","""N/A""","""Everything went smoothly.""","""Yes""",""".20""","""2"""
217,"""English""","""1""","""Male""","""49""","""no""","""""",NA,"""0.27""","""3"""
218,"""english""","""2""","""Female""","""53""","""""","""""","""Yes""",""".27""","""3"""
219,"""English""","""1""","""Male""","""34""","""None""","""None at the moment""","""Yes""","""30""","""3"""
220,"""English""","""1""","""Female""","""26""","""No""","""""","""Yes""",""".25""","""2"""
221,"""English""","""2""","""Female""","""46""","""no""","""""","""Yes""",""".27""","""3"""
222,"""English""","""2""","""Male""","""27""","""No""","""""","""Yes""",""".20""","""3"""
223,"""English""","""2""","""Other""","""25""","""""","""""","""Yes""","""0.27""","""2"""
224,"""English""","""1""","""Male""","""22""","""""","""""","""Yes""","""0.40""","""3"""
225,"""English""","""1""","""Other""","""33""","""""","""""","""Yes""",""".25""","""4"""
226,"""English, Dutch, German""","""2""","""Male""","""43""","""No.""","""Very interesting, open to do (many) more. ""","""Yes""","""0.01""","""3"""
227,"""English""","""2""","""Female""","""42""","""No.""","""""","""Yes""",""".30""","""3"""
228,"""English""","""2""","""Female""","""41""","""No""","""""","""Yes""","""0.27""","""3"""
229,"""english""","""1""","""Male""","""39""","""no""","""none""","""No""",""".20""","""2"""
230,"""English""","""2""","""Male""","""30""","""No problems""","""""","""Yes""",""".25""","""2"""
231,"""English""","""2""","""Male""","""26""","""none""","""very simple but fun to do experiment""","""Yes""",""".27""","""3"""
232,"""English""","""2""","""Female""","""53""","""No""","""Fun and interesting!""","""Yes""",""".27""","""3"""
233,"""English ""","""2""","""Male""","""30""","""No""","""Fun""","""Yes""",""".35""","""3"""
234,"""English""","""2""","""Male""","""27""","""""","""""","""Yes""",""".27""","""3"""
235,"""English""","""1""","""Male""","""24""","""""","""""","""Yes""","""Yes""","""3"""
236,"""English""","""1""","""Male""","""40""","""no""","""No other comments.""",NA,""".25""","""1"""
237,"""English""","""2""","""Male""","""23""","""NO""","""""",NA,"""0.50""","""1"""
238,"""English""","""1""","""Male""","""28""","""No""","""""","""Yes""",""".25""","""3"""
239,"""english""","""1""","""Female""","""41""","""no""","""""",NA,"""30 Cents""","""3"""
240,"""english""","""2""","""Male""","""49""","""""","""""","""Yes""","""""","""3"""
241,"""English""","""1""","""Female""","""37""","""No.""","""None,""","""No""","""20""","""3"""
242,"""English""","""2""","""Male""","""31""","""No""","""It was an interesting HIT""",NA,"""about what is offered""","""3"""
243,"""English""","""2""","""Male""","""31""","""no""","""""","""Yes""",""".25""","""2"""
244,"""English""","""2""","""Male""","""34""","""The experiment went smoothly""","""""",NA,"""$0.15""","""3"""
245,"""English""","""2""","""Male""","""22""","""No""","""""",NA,""".35""","""2"""
246,"""English""","""1""","""Female""","""31""","""No""","""N/A""","""Yes""","""0.27""","""3"""
247,"""English""","""1""","""Male""","""22""","""No""","""""","""Yes""","""The posted price.""","""2"""
248,"""Spanish""","""1""","""Female""","""45""","""no""","""""","""Yes""","""$0.27""","""3"""
249,"""english""","""1""","""Female""","""26""","""no""","""""","""Yes""","""yes""","""4"""
250,"""English""","""2""","""Male""","""33""","""None""","""None""","""Yes""","""25""","""3"""
251,"""English""","""1""","""Female""","""31""","""No""","""""","""No""","""Yes""","""3"""
252,"""English""","""1""","""Male""","""33""","""Audio popped at the beginning (cut at a nonzero crossing of the waveform)""","""Allowing downloads is helpful, but the file names may give away information about the experimental manipulations.""","""Yes""","""$.30""","""4"""
253,"""Enlgish""","""2""","""Male""","""28""","""None!""","""Thank you for having a different type of Hit and great pay!""",NA,"""$0.15""","""2"""
254,"""english""","""2""","""Male""","""31""","""no""","""""","""Yes""",""".27""","""3"""
255,"""English""","""1""","""Other""","""32""","""no""","""""","""Yes""","""yes""","""2"""
256,"""English""","""2""","""Male""","""27""","""no""","""Good luck with your research!""","""Yes""","""yes""","""3"""
257,"""English""","""1""","""Female""","""54""","""nope""","""""","""Yes""",""".30""","""2"""
258,"""English""","""2""","""Female""","""34""","""No""","""Good hit""","""Yes""","""20""","""3"""
259,"""Tamil""","""2""","""Male""","""48""","""No""","""None""","""Yes""","""$0.25""","""3"""
260,"""English""","""2""","""Male""","""43""","""None""","""""",NA,""".27 is fair""","""3"""
261,"""English""","""2""","""Male""","""45""","""no""","""""","""Yes""","""0.27""","""3"""
262,"""english""","""1""","""Female""","""29""","""no""","""none""",NA,""".27""","""3"""
263,"""English""","""2""","""Female""","""32""","""No.""","""""","""No""","""0.27""","""3"""
264,"""English""","""2""","""Female""","""34""","""no""","""""",NA,"""the price paid now is fiar""","""3"""
265,"""English""","""2""","""Male""","""36""","""No""","""""",NA,""".3""","""3"""
266,"""English""","""2""","""Male""","""25""","""No.""","""""","""Yes""",""".25""","""3"""
267,"""English""","""1""","""Female""","""50""","""no""","""""","""Yes""",""".25""","""3"""
268,"""""","""2""","""Female""","""28""","""No""","""""","""Yes""",""".15""","""3"""
269,"""English""","""2""","""Male""","""30""","""No problems""","""""","""Yes""",""".27""","""3"""
270,"""American English""","""2""","""Male""","""30""","""No""","""""","""Yes""",""".27""","""4"""
271,"""English""","""2""","""Female""","""27""","""No""","""""","""Yes""",""".40""","""3"""
272,"""English""","""2""","""Male""","""35""","""None. Worked perfect.""","""N/A""","""Yes""",""".30""","""2"""
273,"""English, Chinese""","""2""","""Female""","""32""","""no""","""""","""Yes""","""yes""","""3"""
274,"""English""","""2""","""Female""","""39""","""No""","""""",NA,""".27""","""2"""
275,"""English""","""1""","""Male""","""26""","""no""","""""","""No""","""yes""","""3"""
276,"""English""","""2""","""Female""","""37""","""There were no bugs""","""""","""Yes""",""".30""","""3"""
277,"""English""","""1""","""Male""","""23""","""No problems""","""Thanks""","""Yes""","""0.27""","""0"""
278,"""English""","""2""","""Male""","""24""","""""","""""",NA,"""0.30""","""3"""
279,"""English""","""2""","""Male""","""32""","""I don&quotechart believe. ""","""Interesting HIT. ""","""Yes""","""0.10""","""0"""
280,"""English""","""2""","""Female""","""26""","""Everything worked fine for me.""","""Fun and interesting HIT. ""","""Yes""",""".27""","""3"""
281,"""English""","""2""","""Male""","""23""","""No, I encountered no bugs or problems""","""""","""Yes""","""0.45""","""3"""
282,"""English""","""2""","""Female""","""36""","""""","""""","""No""","""yes""","""2"""
283,"""English""","""2""","""Male""","""36""","""""","""""","""Yes""","""Yes""","""3"""
284,"""English""","""2""","""Male""","""32""","""no""","""""","""Yes""","""yes""","""4"""
285,"""english""","""2""","""Male""","""22""","""No""","""None""","""Yes""","""yes""","""3"""
286,"""English""","""2""","""Male""","""44""","""no""","""please post more hits like this ""","""Yes""",""".40""","""2"""
287,"""english""","""2""","""Female""","""33""","""no""","""""","""No""","""yes""","""4"""
288,"""English""","""2""","""Female""","""27""","""no""","""""","""Yes""","""yes""","""3"""
289,"""English""","""2""","""Male""","""43""","""No.""","""Curious how clips of double or triple the length from the same speaker&context would alter the responses.""",NA,"""0.30""","""1"""
290,"""english""","""2""","""Female""","""47""","""""","""""","""Yes""","""10""","""3"""
291,"""english""","""-1""","""Male""","""42""","""none""","""""","""Yes""",""".25""","""2"""
292,"""English""","""2""","""Male""","""36""","""""","""""",NA,""".10""","""4"""
293,"""""","""-1""","""""","""""","""""","""""",NA,"""""","""-1"""
294,"""English""","""1""","""Female""","""30""","""no""","""""","""Yes""",""".30""","""2"""
295,"""english""","""1""","""Male""","""30""","""no""","""""","""Yes""","""0.27""","""3"""
296,"""English""","""1""","""Female""","""24""","""""","""""","""Yes""",""".30""","""2"""
297,"""english ""","""2""","""Male""","""22""","""noen""","""none """,NA,"""1.00""","""1"""
